ชื่อกิจกรรม,Dek70 Plus 
คำโปรย 190 Text,เปิดรับสมัครด่วน ให้น้องได้มาสนุกกับเทคโนโลยี แบบไม่ต้องมีพื้นฐาน เก่งเร็ว ใครสนใจจริงจะได้เข้าโครงการพิเศษ National Software Project 2026 ได้ร่วมแข่งรายการระดับชาติและมหาวิทยาลัยชั้นนำ
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,16 Apr
วันที่สิ้นสุด,19 Apr
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,พฤหัส-อาทิตย์
วันที่รับสมัครวันสุดท้าย,16 April 2026
จำนวนที่รับ,500 คน
ค่าใช้จ่าย,190
คุณสมบัติผู้สมัคร,"ประถม, มัธยม และสายอาชีพ"
คุณสมบัติเพิ่มเติม,ให้เกียรติบัตรสำหรับผู้เข้านำเสนอผลงาน พร้อมรางวัลมากมาย
ลิงค์ใบสมัคร,https://hamsterhub.co/dek70
คำอธิบายกิจกรรม,"เอาจริงใน 3 วันสอนตั้งแต่ 0 คัดเลือกน้องที่สนใจจริงเข้าโครงการพิเศษ ""NSC Software Project 2026""
สำหรับน้องๆ ที่ต้องการมั่นใจในแนวของตัวเอง ทั้งสาย Coding สายออกแบบ พัฒนาผลงาน สายงานด้านบริหารจัดการ และ Skill ที่จำเป็นยิ่งยวด หาฝึกได้ยากในยุค AI

🎮 เริ่มด้วยความสนุก ฝึกเทคนิคการเรียนรู้ร่วมกัน
🌟 เน้นฝึกพื้นฐานเฉพาะที่จำเป็น ☯ ""เน้นใช้ประโยชน์ เล่นได้สนุกจริง"" ทั้งเขียนโปรแกรมและสร้างเกม
🔥 สร้างความเหนือชั้น วาง Concept สุดยอดเข้ากับประสบการณ์ออกแบบ แถมได้ต่อยอดจากผลงานระดับโลก
🌍 Simplify ผลงานจนง่ายที่สุดสู่ความเป็นมืออาชีพได้เร็วและคว้ารางวัลจากรายการที่มีชื่อเสียงทั้งในและต่างประเทศ 
🏗️ พัฒนาเส้นทางสู่การยกระดับผลงานสู่ระดับ Pro 🚀 ด้วยการคุมคุณภาพทุกขั้นตอน แล้วนำไปใช้ประโยชน์ได้จริง 

🏆 รายการแข่งขันระดับประเทศขึ้นไป 
1 Hamster Hub Game Jam เตรียมความพร้อมสู่มหาวิทยาลัย 
2 NSC-2026 การแข่งขัน Software ที่ใหญ่ที่สุดในประเทศ 
3 YSC-2027 โปรเจควิจัยของเด็กสายวิทย์ 
4 Thailand Game Show งานแข่งและเปิดตัวเกมที่นักลงทุนจับตามอง 
5 Thailand ICT Awards 2026 การแข่งสุดยอดผลิตภัณฑ์ของประเทศ 

1️⃣Python : เริ่มต้นเส้นทางโปรแกรมเมอร์ให้อยู่เหนือ AI 
2️⃣Game : ออกแบบไอเดียเกมสุดเท่ที่พร้อมเอาไปต่อยอดทำผลงานจริง
3️⃣Roblox : เปิดจินตนาการ ไม่ต้องเยอะก็ทำเงินได้เลย 

🌙16 Monday :
19.00 : กิจกรรมสนุกให้สนิทกัน
19.45 : แบ่งสาย มาลองเอาจริงกัน
20.45 : พี่ๆช่วยดูและปรับแก้ดีไซน์ให้เป็นจริงได้ใน 1 วัน!

🤝17 Tuesday :
19.00 - 19.30 : กิจกรรมสัมภาษณ์สดรุ่นพี่วิษวะคอม มหาลัยชั้นนํา 
19.30 - 20.00 : แบ่งสายเรียนพัฒนาผลงานสั้น เอาให้ตกใจไปเลย 1 วัน จริงดิ!? 

🎤 18 Wednesday :
19.00 : กิจกรรม Wrap Up!
Last Quest! : พรีเซนต์งานของตัวเองในกลุ่ม
พี่จะคัดเลือกตัวแทนห้อง ไปขิงเพื่อนๆ + Cert. พิเศษ
🌟 20.00 : The Final Showdown
Secret Quest!? : ตัวแทนห้องมานำเสนองานที่ทำใน 3 วันชิงรางวัลกับห้องอื่นๆ!
20.45 สรุปและปิดงาน
(แอบกระซิบนะ...หลังปิดงานพี่ๆแอบเตรียมเซอร์ไพรส์ไว้ให้สำหรับทุกคนด้วยนะ)
"
