ชื่อกิจกรรม,Tech Booster for Teens
คำโปรย 190 Text,เปิดรับสมัครจำนวนจำกัด ให้น้องได้มาสนุกกับเทคโนโลยี แบบไม่ต้องมีพื้นฐาน พี่ฝึกให้น้องเก่งได้เร็ว ใครเอาจริงจะได้เข้าโครงการพิเศษ Starways ได้ร่วมแข่งรายการระดับชาติและเข้ามหาวิทยาลัยชั้นนำ
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,23 ม.ค.
วันที่สิ้นสุด,25 ม.ค.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,ศุกร์-อาทิตย์
วันที่รับสมัครวันสุดท้าย,22 ม.ค.
จำนวนที่รับ,90 คน
ค่าใช้จ่าย,190 บาท
คุณสมบัติผู้สมัคร,"ประถม, มัธยม และสายอาชีพ"
คุณสมบัติเพิ่มเติม,ใช้คอมที่มี Ram 16GB ขึ้นไป
ลิงค์ใบสมัคร,hamsterhub.co/techbooster
คำอธิบายกิจกรรม,"เอาจริงใน 3 วันสอนตั้งแต่ 0 คัดเลือกน้องที่สนใจจริงเข้าโครงการพิเศษ ""Starways""
สำหรับน้องๆ ที่ต้องการมั่นใจในแนวของตัวเอง ทั้งสาย Coding สายออกแบบ พัฒนาผลงาน สายงานด้านบริหารจัดการ และ Skill ที่จำเป็นยิ่งยวด หาฝึกได้ยากในยุค AI

🎮 เริ่มด้วยความสนุก ฝึกเทคนิคการเรียนรู้ร่วมกัน
🌟 เน้นฝึกพื้นฐานเฉพาะที่จำเป็น ☯ ""เน้นใช้ประโยชน์ เล่นได้สนุกจริง"" ทั้งเขียนโปรแกรมและสร้างเกม
🔥 สร้างความเหนือชั้น วาง Concept สุดยอดเข้ากับประสบการณ์ออกแบบ แถมได้ต่อยอดจากผลงานระดับโลก
🌍 Simplify ผลงานจนง่ายที่สุดสู่ความเป็นมืออาชีพได้เร็วและคว้ารางวัลจากรายการที่มีชื่อเสียงทั้งในและต่างประเทศ 
🏗️ พัฒนาเส้นทางสู่การยกระดับผลงานสู่ระดับ Pro 🚀 ด้วยการคุมคุณภาพทุกขั้นตอน แล้วนำไปใช้ประโยชน์ได้จริง 

🏆 รายการแข่งขันระดับประเทศขึ้นไป
1 Global Game Jam สร้างเกมพร้อมกัน 48 ชม.ทั่วโลก
2 Hamster Hub Game Jam เตรียมความพร้อมสู่มหาวิทยาลัย
3 NSC-2026 การแข่งขัน Software ที่ใหญ่ที่สุดในประเทศ
4 YSC-2027 โปรเจควิจัยของเด็กสายวิทย์
5 Thailand Game Show งานแข่งและเปิดตัวเกมที่นักลงทุนจับตามอง
6 Thailand ICT Awards 2026 การแข่งสุดยอดผลิตภัณฑ์ของประเทศ

🌙Friday Night :
19.00 : กิจกรรมสนุกให้สนิทกัน
19.30 : inspire หลักการ Design เกมมือถือที่ดี และขายได้
19.45 : ฝึกสร้างเกมมือถือใน 2 วัน!
20.00 : ติดตั้ง Unity
20.20 : จับกลุ่มออกแบบเกมมือถือในแบบของเรา
20.45 : พี่ๆช่วยดูและปรับแก้ดีไซน์ให้เป็นจริงได้ใน 1 วัน!

💪 Saturday Afternoon: 
14.00-16.00 : กิจกรรม How To Be Game Dev
ฝึกควบคุม Object ที่หลากหลายใน Unity
เรียนรู้การใช้งาน Material เบื้องต้น
Quest 1 : สร้างตัวละคร Mascot สุดน่ารัก?? 

🤝Saturday Night:
19.00-21.00 : กิจกรรม How To Make Fun Game
แบ่งสายเรียนตามหน้าที่ในทีม
มีทั้งสอนเขียนโค้ดสร้าง Player สร้างแมพ-จัดแสง และการทำระบบต่างๆในเกม
Quest 2 : สร้าง Gameplay ให้เกมของเราเล่นแล้วสนุก!

🚀 Sunday Afternoon :
14.00-16.00 : กิจกรรม Lets Make It Feel Good
พี่ๆสอนเทคนิคขั้นเทพไม่ว่าจะเป็น Post-Processing, Box Volume, Timeline และอีกมากมาย!!!
Quest 3 : เก็บรายละเอียดเกมให้ดีที่สุด!
(พี่ๆจะแอบสอนเทคนิคการพรีเซนต์เกมให้ด้วยนะ)

🎤Sunday Night:
19.00 : กิจกรรม Wrap Up!
Last Quest! : พรีเซนต์งานของตัวเองในกลุ่ม
พี่จะคัดเลือกบางคนมาเป็นตัวแทนห้องมาพรีเซนต์ที่ห้องรวมด้วยนะ!

🌟 20:00 : The Final Showdown
Secret Quest!? : ตัวแทนห้องมานำเสนองานที่ทำใน 3 วันชิงรางวัลกับห้องอื่น!
สรุปและปิดงาน
(แอบกระซิบนะ...หลังปิดงานพี่ๆแอบเตรียมเซอร์ไพรส์ไว้ให้สำหรับทุกคนด้วยนะ)"
