ชื่อกิจกรรม,Kid Day
คำโปรย 190 Text,เข้าวิศวะคอมฯ รอบ Port ด้วยผลงานที่สร้างร่วมกับ !✨Hamster Hub!✨ด้วยการเขียน Python ให้กรรมการได้มั่นใจ แก้ปัญหาที่ซับซ้อนได้ จัดการข้อมูลได้หลายมิติจาก Big Data Set ของจริง
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,10 ม.ค.
วันที่สิ้นสุด,11 ม.ค.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,เสาร์ - อาทิตย์
วันที่รับสมัครวันสุดท้าย,9 ม.ค.
จำนวนที่รับ,30 คน
ค่าใช้จ่าย,90 บาท
คุณสมบัติผู้สมัคร,"ประถม, มัธยม + มหาวิทยาลัย และสายอาชีพ"
คุณสมบัติเพิ่มเติม,มีคอมพิวเตอร์
ลิงค์ใบสมัคร,hamsterhub.co/kidday
คำอธิบายกิจกรรม,"Day 1 : กำหนดการ (Schedule) 
13.30 - 14.00 | เช็คอิน
14:00 - 14:15 | พิธีเปิด: MC แนะนำกิจกรรม / รับ QR Code เข้ากลุ่มนับแต้ม
14:15 - 14:25 | Quiz แฟนพันธุ์แท้ Roblox ทายเกม Roblox
14:25 - 14:50 | Left Right Session: Talk สร้างแรงบันดาลใจ
14:50 - 16:40 | Mission Start: แยกเข้าซุ้มกิจกรรม Level 1 & Level 2
16:30 - 16:50 | สรุปคะแนน: รวบรวมแต้มและพูดคุยความรู้สึก
16:50 - 17:00 | Top 10 Leaderboard: ประกาศอันดับคะแนนวันแรก

Day 2 : WorkShop
13.00 - 14.00 เช็คอินเด็ก
14:00 - 14:20 | Session สร้างแรงบรรดาลใจ : การเปลี่ยนจาก ""ผู้เล่น"" เป็น ""ผู้สร้าง"" 
14:20 - 14:30 | แยกกลุ่มตามความสนใจของน้อง
        1 : Roblox ที่ใช้สร้างเกมที่น้องๆ ชอบเล่นมากมาย เช่น Forsaken, 99 night in the forest, Strongest battlegrounds, Fisch และ Rivals
        2 : Unity เครื่องมือที่ใช้สร้างเกมดังๆ ระดับโลกมากมาย เช่น ROV, Pokemon GO, Genshin Impact, และ Honkai: Star Rail
        3 : เล่นเกม Roblox แข่งกันกับเพื่อนๆ

1) Section : Roblox
14:30 - 15:00 | แนะนำ Roblox Studio และการใช้งานเบื่องต้นให้น้องๆ
16:30 - 16:50 | นำเสนอเกมของน้องๆ
Route 1 : สร้าง Obby มีอุปสรรค 3 อย่าง และต้องเล่นผ่านโชว์ Staff
Route 2 : ออกแบบท่าเท่ๆ เช่น ท่าโจมตี หรือ ท่าเต้น
16:30 - 16:50 | นำเสนอผลงานของน้องๆ

2) Section : Unity 
14:30 - 15:00 | แนะนำ Roblox Studio และการใช้งานเบื่องต้นให้น้องๆ
15:00 - 16:30 | สร้าง Reto Game เท่ๆ  ในแบบที่น้องชอบ
16:30 - 16:50 | นำเสนอเกมของน้องๆ

กลับมารวมตัวกัน
16:40 - 16:50 | รวบรวมแต้มและพูดคุยความรู้สึก
16:50 - 17:00 | Top 10 Leaderboard: ประกาศอันดับคะแนนวันแรก

## 🟢 Level 1: Beginner (เน้นสนุก)
NangRam (Horror) :
ถ่ายรูปคู่ผี (20 pts) | เต้นใส่ผี (30 pts) | ถามผีว่า ""รู้จักแสกนไหม"" (50 pts)
Bonus ครบ 3 อย่าง: +20 pts
Rivals (FPS) : ฆ่า Staff (30 pts) | ได้ที่ 1 ใน Match (30 pts) | HeadShot 2 รอบ (40 pts)
Bonus ครบ 3 อย่าง: +20 pts
Strongest (Action) : ฆ่า 3 คนติดไม่ตาย (40 pts) | ฆ่าคนเปิด Ult (30 pts) | ฆ่า Staff (30 pts)
Bonus ครบ 3 อย่าง: +20 pts

##  🟡 Level 2: Intermediate (เน้นฝีมือ)
99 Night (Survival): ฆ่าหมาป่า >20 ตัว (30 pts) | ชุบเพื่อน (30 pts) | รอด 7 คืน (40 pts)
Bonus ครบ 3 อย่าง : +20 pts
Defusal (Puzzle) :  กู้ระเบิด Medium (40 pts) | กู้ Easy (30 pts) | กู้ Easy เหลือเวลา >1 นาที (30 pts)
Bonus ครบ 3 อย่าง: +20 pts
DeadRail (Defense) :  ระยะทาง >70k m. (30 pts) | ระยะทาง >100k m. (50 pts) | ไม่มีใครตายเลย (20 pts)
Bonus ครบ 3 อย่าง: +20 pts"
