ชื่อกิจกรรม,Dek-70 Camp
คำโปรย 190 Text,
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,20 Mar
วันที่สิ้นสุด,22 Mar
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,ศุกร์-อาทิตย์
วันที่รับสมัครวันสุดท้าย,19 March 2026
จำนวนที่รับ,500 คน
ค่าใช้จ่าย,190
คุณสมบัติผู้สมัคร,"ประถม, มัธยม และสายอาชีพ"
คุณสมบัติเพิ่มเติม,ให้เกียรติบัตรสำหรับผู้เข้านำเสนอผลงาน พร้อมรางวัลมากมาย
ลิงค์ใบสมัคร,https://hamsterhub.co/dek70
คำอธิบายกิจกรรม,"เอาจริงใน 3 วันสอนตั้งแต่ 0 คัดเลือกน้องที่สนใจจริงเข้าโครงการพิเศษ ""Starways""
สำหรับน้องๆ ที่ต้องการมั่นใจในแนวของตัวเอง ทั้งสาย Coding สายออกแบบ พัฒนาผลงาน สายงานด้านบริหารจัดการ และ Skill ที่จำเป็นยิ่งยวด หาฝึกได้ยากในยุค AI

🎮 เริ่มด้วยความสนุก ฝึกเทคนิคการเรียนรู้ร่วมกัน
🌟 เน้นฝึกพื้นฐานเฉพาะที่จำเป็น ☯ ""เน้นใช้ประโยชน์ เล่นได้สนุกจริง"" ทั้งเขียนโปรแกรมและสร้างเกม
🔥 สร้างความเหนือชั้น วาง Concept สุดยอดเข้ากับประสบการณ์ออกแบบ แถมได้ต่อยอดจากผลงานระดับโลก
🌍 Simplify ผลงานจนง่ายที่สุดสู่ความเป็นมืออาชีพได้เร็วและคว้ารางวัลจากรายการที่มีชื่อเสียงทั้งในและต่างประเทศ 
🏗️ พัฒนาเส้นทางสู่การยกระดับผลงานสู่ระดับ Pro 🚀 ด้วยการคุมคุณภาพทุกขั้นตอน แล้วนำไปใช้ประโยชน์ได้จริง 

🏆 รายการแข่งขันระดับประเทศขึ้นไป
1 Global Game Jam สร้างเกมพร้อมกัน 48 ชม.ทั่วโลก
2 Hamster Hub Game Jam เตรียมความพร้อมสู่มหาวิทยาลัย
3 NSC-2026 การแข่งขัน Software ที่ใหญ่ที่สุดในประเทศ
4 YSC-2027 โปรเจควิจัยของเด็กสายวิทย์
5 Thailand Game Show งานแข่งและเปิดตัวเกมที่นักลงทุนจับตามอง
6 Thailand ICT Awards 2026 การแข่งสุดยอดผลิตภัณฑ์ของประเทศ

1️⃣Python : เริ่มต้นเส้นทางโปรแกรมเมอร์ให้อยู่เหนือ AI
2️⃣Unity : สร้างผลงานระดับเทพ ติดมหาลัยแบบรุ่นพี่
3️⃣Roblox : เปิดจินตนาการ ไม่ต้องเยอะก็ทำเงินได้เลย

🌙Friday :
19.00 : กิจกรรมสนุกให้สนิทกัน
19.45 : แบ่งสาย มาลองเอาจริงกัน
20.45 : พี่ๆช่วยดูและปรับแก้ดีไซน์ให้เป็นจริงได้ใน 1 วัน!

🤝Saturday :
19.00-21.00 : แบ่งสายเรียนพัฒนาผลงานสั้น เอาให้ตกใจไปเลย 1 วัน จริงดิ!?

🎤Sunday :
19.00 : กิจกรรม Wrap Up!
Last Quest! : พรีเซนต์งานของตัวเองในกลุ่ม
พี่จะคัดเลือกตัวแทนห้อง ไปขิงเพื่อนๆ + Cert. พิเศษ

🌟 20:00 : The Final Showdown
Secret Quest!? : ตัวแทนห้องมานำเสนองานที่ทำใน 3 วันชิงรางวัลกับห้องอื่น!
สรุปและปิดงาน
(แอบกระซิบนะ...หลังปิดงานพี่ๆแอบเตรียมเซอร์ไพรส์ไว้ให้สำหรับทุกคนด้วยนะ)"
