ชื่อกิจกรรม,StarLight
คำโปรย 190 Text,Speedrun เข้ามหาลัย! อัพ Port ให้เทพด้วยเส้นทางที่สั้นที่สุด! ⚡ จัดเต็ม 1 เดือน ปั้นสกิล Unity & Python ผ่านภารกิจสุดท้าทาย ไม่ต้องหาเองให้เสียเวลา เพราะมีพี่ๆ คอย Guide แบกจนจบเควส! 🌟
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,1 มิ.ย.
วันที่สิ้นสุด,29 มิ.ย.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,19:00-21:00
วันที่รับสมัครวันสุดท้าย,1 มิ.ย.
จำนวนที่รับ,100 คน
ค่าใช้จ่าย,1290 บาท
คุณสมบัติผู้สมัคร,ผู้สนใจพัฒนาผลงานเข้ารอบ Portfolio ทั้งมัธยมและสายอาชีพ 
คุณสมบัติเพิ่มเติม,⚠ สาย Unity ควรใช้คอม Ram 16GB ขึ้นไป
ลิงค์ใบสมัคร,https://hamsterhub.co/starlight
คำอธิบายกิจกรรม,"🚀 ฝึกเร็วด้วยแนวทางเท่ๆ มี check-point กัน 1 วัน/week เอ๊ะ! เรียนยังไงนะ?
- Live Training ทุกวันจันทร์ผ่านดิสคอร์ด
- Gamification สนุกกับการเรียนรู้ พร้อมแก้ปัญหากับเพื่อนๆ
- Self-Learning เรียนรู้ด้วยตัวเองผ่านภารกิจสุดท้าทาย
- Mentor มีพี่ๆคอยไกด์ไปสู่เป้าหมายของน้องๆ

🌐 2 สายการเรียนสู่การสร้างผลงานรอบ Port เข้าม.ท็อปๆ
1. 🎮 Unity: เรียนรู้การทำเกมที่สนุก กับเครื่องมืออันดับ 1 ของโลก ต่อยอดขึ้นสโตร์ได้เลย
2. 🐍 Python: ภาษาโปรแกรมยอดนิยมในยุค AI ฝึกภาษาเดียวหากินได้แทบทุกเรื่อง

🎁 สิ่งที่ได้รับ
- ทักษะสำคัญในโลกเทคโนโลยี 🖥️ ที่ทำให้น้องได้เปรียบ 🚀 
Self-Learning, Problem Sloving, Design Thinking
- ผลงานที่มั่นใจเข้ารอบ Port 🎓 + ฝีมือระดับน้องๆ วิศวะคอมฯ
- ฝึกทำงานเป็นทีม 🤝 ได้แก้ปัญหาพร้อมเพื่อนๆ 👩‍💻👨‍💻

📅 Timeline
📌 Week 1 : ปูพื้นฐานทักษะตามสาย, วางเป้าหมายผลงานร่วมกับพี่ๆ
📌 Week 2 : เจาะลึกเทคนิคต่างๆ, ฝึกทักษะที่จำเป็น  ""การใช้ AI""
📌 Week 3 : เข้าใจวิธีการแก้ปัญหา, พัฒนา Prototype
📌 Week 4 : First Demo ผลงานแรกของน้องๆ พร้อมแนวทางการต่อยอด
"
,-
