ชื่อกิจกรรม,SciGame Lab Camp
คำโปรย 190 Text,เบื่อไหม ฟิสิกส์ เคมี ชีวะ แบบเดิมๆ!? เปลี่ยนการเรียนจำเจเป็นการสร้างเกมแสนสนุกกันเถอะ!
ประเภทกิจกรรม,"แนะแนวคณะ/เรียนต่อ, สนามสอบจำลอง/Sim Test/Mockup Exam, พัฒนาทักษะ/เวิร์กชอป"
วันที่เริ่มต้น,14 ส.ค.
วันที่สิ้นสุด,16 ส.ค.
ข้อมูลเพิ่มเติมสำหรับวันที่สอน,19:00-21:00
วันที่รับสมัครวันสุดท้าย,16 ส.ค.
จำนวนที่รับ,100 คน
ค่าใช้จ่าย,190 บาท
คุณสมบัติผู้สมัคร,ผู้สนใจพัฒนาผลงานเข้ารอบ Portfolio ทั้งมัธยมและสายอาชีพ 
คุณสมบัติเพิ่มเติม,⚠ ใช้คอมพิวเตอร์ที่มี Ram 16GB ขึ้นไป
ลิงค์ใบสมัคร,hamsterhub.co/gamelab
คำอธิบายกิจกรรม,"
เก่งฟิสิกส์ เคมี ชีวะ ด้วย AI และการสร้างเกม

วันวิทยาศาสตร์ปีนี้ ไม่ได้มีแค่การทดลองในห้องเรียน
แต่น้อง ๆ จะได้เป็น “ทีมงานนักวิทย์” ที่นำความรู้จากฟิสิกส์ เคมี และชีววิทยา มาสร้างเป็นเกมของตัวเองจริง ๆ ผ่าน Unity หรือ Roblox

ไม่ว่าจะยังไม่เคยเขียนโค้ด ไม่เคยทำโมเดล หรือไม่เคยสร้างเสียงมาก่อน ก็เริ่มได้จาก 0
เพราะค่ายนี้ออกแบบมาให้ทุกคนได้ลองทำงานเป็นทีม รู้จักบทบาทของตัวเอง และมีผลงานเกมชิ้นแรกที่สามารถนำไปต่อยอดใส่ Portfolio เข้ามหาวิทยาลัยได้

🎮 เรียนวิทยาศาสตร์ผ่านการลงมือสร้างเกมจริง
⚛️ เลือกบ้านวิทยาศาสตร์ที่ชอบ: ฟิสิกส์ เคมี หรือชีววิทยา
🕹️ เลือกสร้างเกมด้วย Unity หรือ Roblox
🌟 เรียนรู้จาก 0 พร้อมพี่ Mentor คอยช่วยดูแล
🏗️ ได้ฝึกทำงานแบบทีมพัฒนาเกม ตั้งแต่คิดไอเดีย สร้างชิ้นงาน จนเกมเล่นได้จริง
🚀 ได้พื้นฐานสำหรับต่อยอดเป็นผลงาน สมัครค่าย แข่งขัน และใช้ใน Portfolio

เลือก “บ้านวิทยาศาสตร์” ของตัวเอง

น้อง ๆ จะได้รับโจทย์เกมตามธีมวิทยาศาสตร์ แล้วรวมทีมกับเพื่อนในบ้านเพื่อเปลี่ยนความรู้ให้กลายเป็นประสบการณ์เล่นเกม

⚙️ บ้านฟิสิกส์
ออกแบบเกมจากแรง การเคลื่อนที่ พลังงาน แสง เสียง หรือกลไกสุดท้าทาย

🧪 บ้านเคมี
สร้างเกมจากปฏิกิริยา ธาตุ ผสมสาร และการแก้ปริศนาเชิงวิทยาศาสตร์

🌿 บ้านชีวะ
ออกแบบโลกของสิ่งมีชีวิต ระบบนิเวศ ร่างกายมนุษย์ การเอาชีวิตรอด หรือการผจญภัยในธรรมชาติ

ได้สวมบทบาทกับเพื่อนในทีมของเรา
1️⃣ Coder — Unity C# / Roblox Lua
เขียนโค้ด สร้างระบบ เกมเพลย์ กลไก และทำให้ไอเดียของทีมเล่นได้จริง

2️⃣ Sound Engineer
ออกแบบเสียงประกอบ ดนตรี และบรรยากาศ ให้เกมสนุก ตื่นเต้น และน่าจดจำยิ่งขึ้น

3️⃣ 2D & 3D Assets Creator
สร้างภาพ ตัวละคร ฉาก ไอเทม และโมเดล 3 มิติ เพื่อนำไปใช้ในโลกของเกม

กิจกรรมตลอด 3 วัน

Day 1 — Join Your Science House

เลือกบ้าน เลือกบทบาท แล้วเริ่มสร้างชิ้นงานแรก
น้อง ๆ จะได้แยกเข้าบ้านฟิสิกส์ เคมี หรือชีวะ เลือกบทบาทที่อยากลอง และเริ่มวางภาพของเกมร่วมกับทีม

-เรียนรู้พื้นฐานการสร้าง 2D & 3D Asset
-ทดลองทำ Sound สำหรับเกม
- เริ่มสร้างโมเดล 3 มิติ
- เรียนรู้ระบบพื้นฐานของเกม ผ่าน Unity หรือ Roblox



Day 2 — Build It Together

เปลี่ยนไอเดียวิทยาศาสตร์ให้เป็นเกมที่เริ่มเล่นได้
วันนี้ทุกคนจะได้ลงมือทำงานตามหน้าที่จริง โดยมี Mentor ช่วยแบ่งงาน ให้คำแนะนำ และช่วยทำให้ไอเดียของทีมชัดเจนขึ้น

-รับภารกิจสร้าง Asset ตามที่ทีมต้องการ
-ฝึกทำงานร่วมกันระหว่างสาย Coder, Sound และ Asset
-เห็นว่าชิ้นงานของตัวเองถูกนำไปใช้ในเกมอย่างไร


Day 3 — Play, Share & Raise Fund

รวมผลงาน เล่นเกมเพื่อน และโหวตเกมที่อยากสนับสนุน
วันสุดท้ายคือวันที่ทุกบ้านจะได้รวมชิ้นงานทั้งหมดให้เป็นเกมของตัวเอง แล้วเปิดให้เพื่อน ๆ จากบ้านอื่นเข้ามาทดลองเล่น

-รวม Asset, Sound และระบบเกมของแต่ละบ้าน
-เปิดบูธผลงาน ให้ทุกทีมได้เล่นเกมของเพื่อน
-รับฟัง Feedback และดูว่าผู้เล่นเข้าใจแนวคิดวิทยาศาสตร์ในเกมหรือไม่
-ร่วมกิจกรรมโหวต **Raise Fund** เลือกเกมที่อยากสนับสนุน
-สรุปสิ่งที่ได้เรียนรู้จากการทำงานแบบทีมพัฒนาเกมจริง

ค่ายนี้ไม่ใช่แค่การเรียนวิทยาศาสตร์ หรือเรียนสร้างเกมแยกกัน
แต่น้อง ๆ จะได้เห็นว่า “ความรู้” สามารถเปลี่ยนเป็นผลงานที่คนอื่นเล่น สนุก และจดจำได้จริง
"
